name,intent
55-tests/32,T
55-tests/44,T
55-tests/1,T
55-tests/35,T
scythe/top_rated_posts/048,T
scythe/top_rated_posts/043,F
spider/entertainment_awards/0011,T
spider/store_1/0038,F
spider/cre_Docs_and_Epenses/0032,T
spider/tracking_grants_for_research/0017,T
spider/entertainment_awards/0020,F
spider/decoration_competition/0004,F
spider/soccer_2/0037,T
spider/store_product/0018,T
spider/tracking_software_problems/0016,T
spider/storm_record/0011,T
spider/railway/0019,T
spider/medicine_enzyme_interaction/0021,T
spider/election_representative/0006,T
spider/decoration_competition/0003,F
spider/tracking_grants_for_research/0023,T
spider/cre_Doc_Control_Systems/0005,F
spider/products_for_hire/0014,T
spider/school_finance/0002,F
spider/wrestler/0020,T
spider/machine_repair/0003,F
spider/allergy_1/0004,F
spider/cre_Docs_and_Epenses/0002,T
spider/student_assessment/0025,T
spider/music_1/0023,T
spider/insurance_policies/0018,T
spider/student_assessment/0015,T
spider/cre_Docs_and_Epenses/0004,F
spider/college_3/0012,T
spider/climbing/0019,F
spider/tracking_share_transactions/0010,T
spider/icfp_1/0008,T
spider/network_2/0021,T
spider/e_government/0015,T
spider/customers_and_addresses/0011,F
spider/soccer_2/0021,F
spider/icfp_1/0029,T
spider/cre_Docs_and_Epenses/0030,T
spider/flight_1/0014,T
spider/insurance_fnol/0020,F
spider/music_1/0014,F
spider/icfp_1/0010,T
spider/loan_1/0035,T
spider/loan_1/0009,T
spider/epinions_1/0001,T
spider/loan_1/0034,F
spider/party_people/0005,F
spider/dorm_1/0016,F
spider/decoration_competition/0013,T
spider/architecture/0013,T
spider/e_government/0002,T
spider/cre_Docs_and_Epenses/0034,T
spider/cre_Docs_and_Epenses/0022,T
spider/local_govt_mdm/0005,T
spider/soccer_2/0030,T
spider/ship_mission/0009,F
spider/cre_Docs_and_Epenses/0025,F
spider/coffee_shop/0014,T
spider/manufactory_1/0009,T
textbook/6,T
textbook/21,T
